Rainfall at Rosehall Canje Tillage Site;;;;;;;;;;;;;
2023;;;;;;;;;;;;;
(mm);Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;
1;5,20;0,80;12,20;4,00;0,00;0,00;18,20;0,00;0,00;;;;
2;4,30;3,60;0,00;0,00;0,00;8,80;10,20;14,00;0,00;;;;
3;24,60;0,00;2,00;0,00;0,00;0,00;120,00;35,20;0,00;;;;
4;15,20;0,00;4,80;0,00;0,00;0,00;28,40;0,00;0,00;;;;
5;3,00;0,00;0,00;0,00;0,00;5,20;0,80;0,00;0,00;;;;
6;3,60;0,60;0,80;0,00;0,00;1,20;0,00;0,00;0,00;;;;
7;10,30;0,00;0,00;0,00;8,20;6,40;0,00;0,00;0,00;;;;
8;3,20;0,00;0,00;0,00;11,20;12,60;16,80;5,40;0,00;;;;
9;8,60;0,00;0,00;0,00;0,00;2,40;12,40;1,20;0,00;;;;
10;0,80;0,00;0,00;0,00;10,80;5,10;0,00;0,00;0,00;;;;
11;0,00;0,00;0,00;0,00;2,00;3,80;0,00;0,00;0,00;;;;
12;1,80;3,40;0,00;0,00;0,00;2,20;1,40;0,40;0,00;;;;
13;0,00;24,00;0,00;2,20;0,00;0,00;3,20;0,00;0,00;;;;
14;0,00;3,80;0,00;8,20;4,20;0,00;0,00;0,00;0,00;;;;
15;105,60;0,00;0,00;16,00;15,80;0,00;0,00;33,00;0,00;;;;
16;72,40;0,00;0,00;32,20;3,10;2,40;0,00;0,00;0,00;;;;
17;0,00;4,00;0,00;3,20;59,20;11,20;0,00;0,00;0,00;;;;
18;0,80;20,30;0,00;0,00;1,80;35,20;0,00;28,00;0,00;;;;
19;2,20;0,00;0,00;1,00;0,00;2,00;2,40;1,40;0,00;;;;
20;13,20;5,60;16,20;3,20;1,60;5,00;0,00;0,00;0,00;;;;
21;21,80;0,00;0,00;67,20;2,10;12,80;0,00;0,00;5,80;;;;
22;0,40;15,60;0,00;2,10;5,20;37,40;0,00;0,00;;;;;
23;0,00;7,20;0,00;6,40;2,00;0,00;2,40;0,00;;;;;
24;0,00;3,20;0,00;0,00;0,00;0,40;4,80;0,00;;;;;
25;0,00;0,00;0,00;98,50;6,00;0,00;1,20;0,00;;;;;
26;0,00;0,00;0,00;15,20;0,00;0,00;0,80;0,00;;;;;
27;0,00;28,60;0,00;0,00;0,00;0,80;TR;0,00;;;;;
28;0,00;32,40;6,20;0,00;40,20;6,20;0,00;0,00;;;;;
29;0,00;*;2,00;0,00;48,40;26,80;0,00;0,00;;;;;
30;0,00;*;6,40;0,00;20,20;2,20;TR;0,00;;;;;
31;0,00;*;0,00;*;0,00;*;0,00;0,00;;;;;YEAR TO DATE
Total;297,00;153,10;50,60;259,40;242,00;190,10;223,00;118,60;5,80;0,00;0,00;0,00;1539,60
;;;;;;;;;;;;;
Note: ;* Above 10 mm of rain operations ceases for 3 - 4 days and within such time it rains again, more days may be necessary to resume operations.;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;TR;Trace ;
